Firtsname;Lastname;email;society;post;"Linked virtual card ID";"Contact datetime"
Toto;Toto;t@gmail.com;;;119;"2025-07-11 10:14:18"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-11 10:10:12"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-11 08:20:35"
Glodie;T;t@gmail.com;;;87;"2025-07-11 07:55:10"
Glodie;T;t@gmail.com;;;85;"2025-07-10 19:50:23"
Glodie;T;t@gmail.com;;;85;"2025-07-10 19:42:46"
Glodie;T;t@gmail.com;;;85;"2025-07-10 19:42:42"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 19:40:32"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 19:30:06"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 15:08:38"
Momo;"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 14:54:10"
fffff;"Lead lastname";lead@gmail.com;"Open IA";;85;"2025-07-10 13:45:54"
Mark;"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 13:10:55"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 13:03:35"
John;Doe;lead@gmail.com;"Open IA";;87;"2025-07-10 12:51:29"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 09:00:03"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 08:43:47"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 08:42:57"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 08:42:03"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 08:41:19"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-10 08:39:04"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;"2025-07-09 21:59:20"
"Lead firstname";"Lead lastname";lead@gmail.com;"Open IA";;87;
